LIGAND INFORMATION,,,,,IN VITRO ASSAYS,,,,,,,,,CELL-BASED ASSAYS,,,,,,,,ANIMAL MODELS,,,,,,,,,,,,,,
#,Previous ID #,SMILES,Name,DOI/PMC,Control,Assay Target(s) ,Observation,Ligand Concentration,Buffer,Category,Assay,Method/Notes,Control/Validation,Control,Cell Line,Observation,Concentration,Category,Assay,Method Notes,Control/Validation,Control,Organism,Observation,Administration/Concentration,Category,Assay,Method/Notes,Control/Validation,,,,,,,
R-BIND (LM) 0020,R-BIND (MV) 0029,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C\C=C/C[C@H](NC(=O)[C@@H]1CCCN1C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+],DCC 4 (2012),10.1093/nar/gks298,,-,Decreased level of protein expression,Ligand = 0 - 100 µM,C5-14 cell lysate,Activity,Bradford Assay,-,Compared to untreated lysate,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0020,R-BIND (MV) 0029,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C\C=C/C[C@H](NC(=O)[C@@H]1CCCN1C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+],DCC 4 (2012),10.1093/nar/gks298,,-,Decreased level of protein expression,Ligand = 0 - 100 µM,C1-S cell lysate,Activity,Bradford Assay,-,Compared to untreated lysate,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0021,R-BIND (MV) 0030,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC\C=C\CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+],DCC 11 (2012),10.1093/nar/gks298,,r(CUG)2,Kd = 668 nM; t1/2 = 109 s,Ligand = NR; RNA = 200 nM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Binding,Surface Plasmon Resonance,-,-,,Human Fibroblasts,"Cell-permeable, primarily localize in nucleus",NR,Cell Uptake,Fluorescence Microscopy,Treated for 12 h,Compared to untreated cells and parent compound,,DM1 HSALR mouse model (Clcn1),Improvement in Clcn1 splicing,Intraperitoneal; 40 mg/kg for 5 days,RNA Splicing,RT-PCR,"Mice were sacrificed 1 day after the last injection, and vastus muscle was obtained for splicing analysis. ",Compared to saline-injected control,,,,,,,
R-BIND (LM) 0021,R-BIND (MV) 0030,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC\C=C\CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+],DCC 11 (2012),10.1093/nar/gks298,,r(CUG)4,Kd = 60 nM; n = 1; t1/2 = 806 s,Ligand = NR; RNA = 200 nM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Binding,Surface Plasmon Resonance,-,-,,Mouse C2C12 Myoblasts,"Cell-permeable, primarily localize in nucleus",NR,Cell Uptake,Fluorescence Microscopy,Treated for 12 h,Compared to untreated cells and parent compound,,DM1 HSALR mouse model (Clcn1),Improvement in Atp2a1 splicing,Intraperitoneal; 40 mg/kg for 5 days,RNA Splicing,RT-PCR,"Mice were sacrificed 1 day after the last injection, and vastus muscle was obtained for splicing analysis. ",Compared to saline-injected control,,,,,,,
R-BIND (LM) 0021,R-BIND (MV) 0030,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC\C=C\CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+],DCC 11 (2012),10.1093/nar/gks298,,r(CUG)10,Kd = 22.5 nM; n = 5; t1/2 = 1272 s,Ligand = NR; RNA = 200 nM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Binding,Surface Plasmon Resonance,-,-,,Human Fibroblasts,No significant toxicity observed,Ligand = 100 µM,Cytotoxicity,MTT,-,Compared to mitomycin C and saw significant toxicity,,DM1 HSALR mouse model (Clcn1),Improvement in Ttn splicing,Intraperitoneal; 40 mg/kg for 5 days,RNA Splicing,RT-PCR,"Mice were sacrificed 1 day after the last injection, and vastus muscle was obtained for splicing analysis. ",Compared to saline-injected control,,,,,,,
R-BIND (LM) 0021,R-BIND (MV) 0030,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC\C=C\CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+],DCC 11 (2012),10.1093/nar/gks298,,r(CCUG)10,Kd = 210 nM; t1/2 = 50 s,Ligand = NR; RNA = 200 nM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Binding,Surface Plasmon Resonance,-,-,,Mouse C2C12 Myoblasts,No significant toxicity observed,Ligand = 100 µM,Cytotoxicity,MTT,-,Compared to mitomycin C and saw significant toxicity,C,DM1 HSALR mouse model (Clcn1),No change in Capzb splicing,Intraperitoneal; 40 mg/kg for 5 days,RNA Splicing,RT-PCR,"Mice were sacrificed 1 day after the last injection, and vastus muscle was obtained for splicing analysis. Splicing not dependent on MBNL1.",Compared to saline-injected control,,,,,,,
R-BIND (LM) 0021,R-BIND (MV) 0030,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC\C=C\CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+],DCC 11 (2012),10.1093/nar/gks298,C,(CAG)10,Kd =  862 nM; t1/2 = 56 s,Ligand = NR; RNA = 200 nM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Off-Target Effect,Surface Plasmon Resonance,-,-,,Mouse C5-14 Myoblasts,Concentration-dependent increase in luciferase activity,Ligand = 1 - 100 µM,Localization,Reporter,"An engineered cell line (C5-14) expressing a luciferase-encoding mRNA with 800 CUG repeats in the 3?-UTR was used. Formation of (CUG)800 RNA–MBNL1 complexes in the C5-14 cell line suppresses translation of this mRNA, and therefore suppresses the cellular level of luciferase. Inhibition of protein complexation to the (CUG)800 RNA allows translation to occur, restoring luciferase expression. The increase in luciferase activity is accompanied by a disruption of CUG foci, as seen by fluorescence in-situ hybridization","Compared to negative control ligand with no selectivity for repeats and untreated cells, also used a morpholino antisense oligonucleotide (CAG-25) complementary to the CUG repeat RNA as positive control",,,,,,,,,,,,,,,
R-BIND (LM) 0021,R-BIND (MV) 0030,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC\C=C\CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+],DCC 11 (2012),10.1093/nar/gks298,C,Duplex,No binding,Ligand = NR; RNA = 200 nM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Off-Target Effect,Surface Plasmon Resonance,-,-,C,Mouse C1-S Myoblasts,No change in luciferase activity,Ligand = 1 - 100 µM,Localization,Reporter,Cell line carrying an analogous luciferase construct lacking the CUG repeats in the 3?-UTR; used as positive control for luciferase expression. ,"Compared to negative control ligand with no selectivity for repeats and untreated cells, also used a morpholino antisense oligonucleotide (CAG-25) complementary to the CUG repeat RNA as positive control",,,,,,,,,,,,,,,
R-BIND (LM) 0021,R-BIND (MV) 0030,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC\C=C\CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+],DCC 11 (2012),10.1093/nar/gks298,C,HIV-1 FSS RNA,Kd = 2 µM; t1/2 = 27 s,Ligand = NR; RNA = 200 nM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Off-Target Effect,Surface Plasmon Resonance,-,-,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0021,R-BIND (MV) 0030,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC\C=C\CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+],DCC 11 (2012),10.1093/nar/gks298,,r(CUG)10,Kd = 57 ± 1 nM,"Ligand = 1 µM, RNA = 10 µM",0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Binding,Fluorescence-Based Titration (Intrinsic),-,-,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0021,R-BIND (MV) 0030,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC\C=C\CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+],DCC 11 (2012),10.1093/nar/gks298,C,r(CCUG)10,Kd = 73.6 ± 0.8 nM,"Ligand = 1 µM, RNA = 10 µM",0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Off-Target Effect,Fluorescence-Based Titration (Intrinsic),-,-,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0021,R-BIND (MV) 0030,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC\C=C\CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+],DCC 11 (2012),10.1093/nar/gks298,,-,No change in protein expression,Ligand = 0 - 100 µM,C5-14 cell lysate,Activity,Bradford Assay,-,Compared to untreated lysate,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0021,R-BIND (MV) 0030,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC\C=C\CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+],DCC 11 (2012),10.1093/nar/gks298,,-,No change in protein expression,Ligand = 0 - 100 µM,C1-S cell lysate,Activity,Bradford Assay,-,Compared to untreated lysate,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0022,R-BIND (MV) 0031,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N(C)[C@@H](C\C=C\C[C@H](N(C)C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],Compound 4E,10.1021/acschembio.5b00682,,HIV-1 FSS RNA,Kd = 5.0 ± 2.0 nM,Ligand = 0 - 1 µM; RNA = 0 - 10 µM,"20 mM HEPES, 150 mM NaCl, and 5 mM MgCl2",Binding,Fluorescence-Based Titration (Intrinsic),-,-,,HEK293T Cells,LD50 = 20-30 µM,NR,Cytotoxicity,WST-1,"After cells were allowed to adhere for 6 h, they were then incubated with the compound for 24 h",Compared to untreated control,,,,,,,,,,,,,,,
R-BIND (LM) 0022,R-BIND (MV) 0031,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N(C)[C@@H](C\C=C\C[C@H](N(C)C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],Compound 4E,10.1021/acschembio.5b00682,C,HIV-1 FSS DNA,Kd = 34 ± 10 nM,Ligand = 0 - 1 µM; RNA = 0 - 10 µM,"20 mM HEPES, 150 mM NaCl, and 5 mM MgCl2",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),-,-,,HEK293T Cells,Enhanced permeability,"Ligand = 5, 50 µM",Cell Uptake,Flow Cytometry,HEK293T cells were incubated for 24 h in the presence of compound. Cells were then gated for negative propidium iodide and positive compound fluorescence. ,Compared to untreated control,,,,,,,,,,,,,,,
R-BIND (LM) 0022,R-BIND (MV) 0031,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N(C)[C@@H](C\C=C\C[C@H](N(C)C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],Compound 4E,10.1021/acschembio.5b00682,C,Yeast tRNA,Kd = 91 ± 20 nM,Ligand = 0 - 1 µM; RNA = 0 - 10 µM,"20 mM HEPES, 150 mM NaCl, and 5 mM MgCl2",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),-,-,,HEK293T Cells,Dose-dependent significant decrease in infectivity,"Ligand = 2, 6.3, 20 µM",Antiviral Activity,ELISA,"HEK293T producer cells were transfected with a pro-viral plasmid for HIV in which the nef gene is replaced with green fluorescent protein and the env gene is deleted. A plasmid coding for VSV-G was cotransfected to allow for production of single cycle infectious virions. Producer cells were incubated with the compound for 24 h, after which the virions were harvested and normalized for viral load based on p24 ELISA. Equal loads of these viral particles were then incubated with TZM-bl reporter cells that express luciferase under long terminal repeat (LTR) promoter control when infected by HIV-1.",Compared to untreated control; experiments repeated in another laboratory.,,,,,,,,,,,,,,,
R-BIND (LM) 0022,R-BIND (MV) 0031,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N(C)[C@@H](C\C=C\C[C@H](N(C)C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],Compound 4E,10.1021/acschembio.5b00682,,HIV-1 FSS RNA,Kd = 13 ± 5.2 nM; ka = 1.6 ± 0.7 x 10^5 M-1s-1; kd = 1.9 ± 0.5 x 10^-3 s-1,NR,10 mM HEPES and 150 mM NaCl,Binding,Surface Plasmon Resonance,Compounds were injected at a flow rate of 30 ?L/min,,,HEK293T Cells,Interferes with production of virus particles,"Ligand = 2, 6.3, 20 µM",Antiviral Activity,ELISA,"SDS PAGE and Western Blot. The primary antibody reacted with the blots recognized p160, the full length Gag-Pol polyprotein that is only made if the ?1 frameshift occurs, as well as with p55 and p24, two forms of Gag that are made with or without frameshifting. The ratio of p160 to p24+p55 was determined as a semiquantitative measure of frameshifting.",Compared to FDA-approved protease inhibitor Indinavir and untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0022,R-BIND (MV) 0031,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N(C)[C@@H](C\C=C\C[C@H](N(C)C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],Compound 4E,10.1021/acschembio.5b00682,C,HIV-1 protease,No protease inhibition,Ligand = 0 - 100 µM,-,Off-Target Effect,HIV-1 Protease Activity,FRET peptide substrate,Done in presence and absence of compound and with a known protease inhibitor,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0023,R-BIND (MV) 0032,"CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](C\C=C/C[C@H](NC(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+]
",DCC 4 (2014),10.1021/jm401438g,,HIV-1 FSS RNA,ka = 4.24 ± 0.22 x 10^4 M-1s-1; kd = 4.11 ± 0.02 x 10^-3 s-1; Kd = 0.102 µM,Ligand = NR; RNA = 500 nM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Binding,Surface Plasmon Resonance,-,Compared to SPR chip with low RNA density,,HEK293T Cells,Compound is cell permeable,"Ligand = 50, 100, 200, 500 µM",Cell Uptake,Fluorescence Microscopy,Done via internal ligand fluorescence. Cells treated for 12 hrs.,Cells were washed to ensure cell staining was not due to surface capture.,,,,,,,,,,,,,,,
R-BIND (LM) 0023,R-BIND (MV) 0032,"CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](C\C=C/C[C@H](NC(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+]
",DCC 4 (2014),10.1021/jm401438g,,HIV-1 FSS DNA,ka = 2.17 ± 0.77 x 10^4 M-1s-1; kd = 1.35 ± 0.03 x 10^-3 s-1; Kd = 0.071 µM,Ligand = NR; DNA = 500 nM,"20 mM HEPES (pH = 7.4), 0.15?M NaCl, 5 mM MgCl2, and 0.005% Tween-20",Binding,Surface Plasmon Resonance,-,Compared to SPR chip with low RNA density,,HEK293T Cells,No toxicity below 60 µM,Ligand = 0 - 0.5 mM,Cytotoxicity,WST-1,"HEK 293FT cells cultured in DMEM for 24 h, after which a 10:1 media to WST-1 cell proliferation reagent mixture replaced the growth media for 2 h. Absorbance was then measured at 450 and 690 nm.",-,,,,,,,,,,,,,,,
R-BIND (LM) 0023,R-BIND (MV) 0032,"CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](C\C=C/C[C@H](NC(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+]
",DCC 4 (2014),10.1021/jm401438g,C,HTLV-2 FSS RNA,No binding,Ligand = NR; RNA = 500 nM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Off-Target Effect,Surface Plasmon Resonance,-,-,,HEK293T Cells,Stimulated -1 frameshift translation up to 160 %,Ligand = 0 - 0.5 mM,Frameshifting Activity,Reporter,Dual luciferase reporter (pDualHIV(-1)). The FSS sequence has been inserted between Renilla (Rluc) and firefly (Fluc) luciferase genes,Used negative controls from in vitro assays,,,,,,,,,,,,,,,
R-BIND (LM) 0023,R-BIND (MV) 0032,"CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](C\C=C/C[C@H](NC(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+]
",DCC 4 (2014),10.1021/jm401438g,,HIV-1 FSS RNA,Kd = 66 ± 34 nM,Ligand = 1 µM; RNA = 10 µM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Binding,Fluorescence-Based Titration (Intrinsic),-,,C,HEK293T Cells,No frameshifting observed,Ligand = 0 - 0.5 mM,Frameshifting Activity,Reporter,"pDualHIV(0) construct, where Fluc is in the 0 reading frame relative to Rluc. ",Used negative controls from in vitro assays,,,,,,,,,,,,,,,
R-BIND (LM) 0023,R-BIND (MV) 0032,"CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](C\C=C/C[C@H](NC(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+]
",DCC 4 (2014),10.1021/jm401438g,,HIV-1 FSS DNA,Kd = 265 ± 38 nM,Ligand = 1 µM; DNA = 40 µM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Binding,Fluorescence-Based Titration (Intrinsic),-,,,HEK293T Cells,No frameshifting observed,Ligand = 0 - 0.5 mM,Frameshifting Activity,Reporter,"pDualHTLV-2(-1) construct, where Fluc is in the 0 reading frame relative to Rluc. ",Used negative controls from in vitro assays,,,,,,,,,,,,,,,
R-BIND (LM) 0023,R-BIND (MV) 0032,"CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](C\C=C/C[C@H](NC(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+]
",DCC 4 (2014),10.1021/jm401438g,C,tRNA,Kd = 334 ± 28 nM,Ligand = 1 µM; RNA = 40 µM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Off-Target Effect,Fluorescence-Based Titration (Intrinsic),-,,,HEK293T Producer,Decrease in viral infectivity. EC50 = 3.90 µM,"Ligand = 10, 20, 40 µM",Antiviral Activity,ELISA,"Viral producer cells were dosed with compounds after transfection, and viral particles were harvested. Infections were performed using TZM-bl reporter cells (express luciferase when infected). Luminescence was quantitated. Also observed viral product via fluorescence microscopy and GFP marker.",Used peptide backbone as negative control. Protease inhibitor Indinavir was used as control (known EC50),,,,,,,,,,,,,,,
R-BIND (LM) 0023,R-BIND (MV) 0032,"CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](C\C=C/C[C@H](NC(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+]
",DCC 4 (2014),10.1021/jm401438g,,,,,,,,,,,HEK293T Producer,"Increased amounts of Reverse Transcriptase observed. The amount of RT in 
unprocessed Gag-Pol (p160) relative to mature RT (p66 +
p51) also increased significantly.","Ligand = 10, 20, 40 µM",Protein Abundance,Western Blot,"As RT is produced only as part of the Gag-Pol fusion, increasing amounts of RT relative to capsid protein p24 (a structural protein produced as part of Gag) would be required given an increase in frameshifting.",Used Indinavir as positive control. Reported  relative to p24.,,,,,,,,,,,,,,,
R-BIND (LM) 0024,R-BIND (MV) 0033,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](C\C=C\C[C@H](NC(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2014),10.1021/jm401438g,,HIV-1 FSS RNA,ka = 3.99 ± 0.27 x 10^4 M-1s-1; kd = 3.75 ± 0.12 x 10^-3 s-1; Kd = 89 nM,Ligand = NR; RNA = 500 nM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Binding,Surface Plasmon Resonance,-,Compared to SPR chip with low RNA density,,HEK293T Cells,Compound is cell permeable,"Ligand = 50, 100, 200, 500 µM",Cell Uptake,Fluorescence Microscopy,Done via internal ligand fluorescence. Cells treated for 12 hrs.,Cells were washed to ensure cell staining was not due to surface capture.,,,,,,,,,,,,,,,
R-BIND (LM) 0024,R-BIND (MV) 0033,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](C\C=C\C[C@H](NC(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2014),10.1021/jm401438g,,HIV-1 FSS DNA,ka = 3.68 ± 1.45 x 10^4 M-1s-1; kd = 3.46 ± 2.05 x 10^-3 s-1; Kd = 96 nM,Ligand = NR; RNA = 500 nM,"20 mM HEPES (pH = 7.4) 0.15?M NaCl, 5 mM MgCl2, and 0.005% Tween-20",Binding,Surface Plasmon Resonance,-,Compared to SPR chip with low RNA density,,HEK293T Cells,No toxicity below 60 µM,Ligand = 0 - 0.5 mM,Cytotoxicity,WST-1,"HEK 293FT cells cultured in DMEM for 24 h, after which a 10:1 media to WST-1 cell proliferation reagent mixture replaced the growth media for 2 h. Absorbance was then measured at 450 and 690 nm.",-,,,,,,,,,,,,,,,
