ligando,atomos_glue,tipos,pose_TDP43_v2,pose_TDP43,pose_SOD1,pose_FUS
CHEMBL1207285,4,CG0+G0,0,0,0,0
CHEMBL1207297,4,CG0+G0,0,0,0,0
CHEMBL1207357,4,CG0+G0,0,0,0,0
CHEMBL1207498,4,CG0+G0,0,0,0,0
CHEMBL1207689,4,CG0+G0,0,0,0,0
CHEMBL1207702,4,CG0+G0,0,0,0,0
CHEMBL1207705,4,CG0+G0,0,0,0,0
CHEMBL1207752,4,CG0+G0,0,0,0,0
CHEMBL1207779,4,CG0+G0,0,0,0,0
CHEMBL1207834,4,CG0+G0,0,0,0,0
CHEMBL1207905,4,CG0+G0,0,0,0,0
CHEMBL1207961,4,CG0+G0,0,0,0,0
CHEMBL1208056,4,CG0+G0,0,0,0,0
CHEMBL1208222,4,CG0+G0,0,0,0,0
CHEMBL1208622,4,CG0+G0,0,0,0,0
CHEMBL1208628,4,CG0+G0,0,0,0,0
CHEMBL1210704,4,CG0+G0,0,0,0,0
CHEMBL1210705,4,CG0+G0,0,0,0,0
CHEMBL1210706,4,CG0+G0,0,0,0,0
CHEMBL1242326,4,CG0+G0,0,0,0,0
CHEMBL1242327,4,CG0+G0,0,0,0,0
CHEMBL1242374,4,CG0+G0,0,0,0,0
CHEMBL1242418,4,CG0+G0,0,0,0,0
CHEMBL1242465,4,CG0+G0,0,0,0,0
CHEMBL1242467,4,CG0+G0,0,0,0,0
CHEMBL1242564,4,CG0+G0,0,0,0,0
CHEMBL1242632,4,CG0+G0,0,0,0,0
CHEMBL1242633,4,CG0+G0,0,0,0,0
CHEMBL1242646,4,CG0+G0,0,0,0,0
CHEMBL1242650,4,CG0+G0,0,0,0,0
CHEMBL1242654,4,CG0+G0,0,0,0,0
CHEMBL1242745,4,CG0+G0,0,0,0,0
CHEMBL1242750,4,CG0+G0,0,0,0,0
CHEMBL1242841,4,CG0+G0,0,0,0,0
CHEMBL1242929,4,CG0+G0,0,0,0,0
CHEMBL1242934,4,CG0+G0,0,0,0,0
CHEMBL1242935,4,CG0+G0,0,0,0,0
CHEMBL1242955,4,CG0+G0,0,0,0,0
CHEMBL1242956,4,CG0+G0,0,0,0,0
CHEMBL1242963,4,CG0+G0,0,0,0,0
CHEMBL1242982,4,CG0+G0,0,0,0,0
CHEMBL1242983,4,CG0+G0,0,0,0,0
CHEMBL1242989,4,CG0+G0,0,0,0,0
CHEMBL1242990,4,CG0+G0,0,0,0,0
CHEMBL1243014,4,CG0+G0,0,0,0,0
CHEMBL1243022,4,CG0+G0,0,0,0,0
CHEMBL1243029,4,CG0+G0,0,0,0,0
CHEMBL1243030,4,CG0+G0,0,0,0,0
CHEMBL1243047,4,CG0+G0,0,0,0,0
CHEMBL1243062,4,CG0+G0,0,0,0,0
CHEMBL1243063,4,CG0+G0,0,0,0,0
CHEMBL1243079,4,CG0+G0,0,0,0,0
CHEMBL1243080,4,CG0+G0,0,0,0,0
CHEMBL1243114,4,CG0+G0,0,0,0,0
CHEMBL1243115,4,CG0+G0,0,0,0,0
CHEMBL1243123,4,CG0+G0,0,0,0,0
CHEMBL1243149,4,CG0+G0,0,0,0,0
CHEMBL1243179,4,CG0+G0,0,0,0,0
CHEMBL1243337,4,CG0+G0,0,0,0,0
CHEMBL1243370,4,CG0+G0,0,0,0,0
CHEMBL1243390,4,CG0+G0,0,0,0,0
CHEMBL1243398,4,CG0+G0,0,0,0,0
CHEMBL1310614,4,CG0+G0,0,0,0,0
CHEMBL1401300,4,CG0+G0,0,0,0,0
CHEMBL1422689,4,CG0+G0,0,0,0,0
CHEMBL1435671,4,CG0+G0,0,0,0,0
CHEMBL1436528,4,CG0+G0,0,0,0,0
CHEMBL1473738,4,CG0+G0,0,0,0,0
CHEMBL1474751,4,CG0+G0,0,0,0,0
CHEMBL1500978,4,CG0+G0,0,0,0,0
CHEMBL1507589,4,CG0+G0,0,0,0,0
CHEMBL1547534,4,CG0+G0,0,0,0,0
CHEMBL1554159,4,CG0+G0,0,0,0,0
CHEMBL1598103,4,CG0+G0,0,0,0,0
CHEMBL1658,4,CG0+G0,0,0,0,0
CHEMBL1660,4,CG0+G0,0,0,0,0
CHEMBL1685,4,CG0+G0,0,0,0,0
CHEMBL1708773,4,CG0+G0,0,0,0,0
CHEMBL1712281,4,CG0+G0,0,0,0,0
CHEMBL1795355,4,CG0+G0,0,0,0,0
CHEMBL1795525,4,CG0+G0,0,0,0,0
CHEMBL1796246,4,CG0+G0,0,0,0,0
CHEMBL1796247,4,CG0+G0,0,0,0,0
CHEMBL1796248,4,CG0+G0,0,0,0,0
CHEMBL1796249,4,CG0+G0,0,0,0,0
CHEMBL1796250,4,CG0+G0,0,0,0,0
CHEMBL1796251,4,CG0+G0,0,0,0,0
CHEMBL1796252,4,CG0+G0,0,0,0,0
CHEMBL1796253,4,CG0+G0,0,0,0,0
CHEMBL1796254,4,CG0+G0,0,0,0,0
CHEMBL1796255,4,CG0+G0,0,0,0,0
CHEMBL1796256,4,CG0+G0,0,0,0,0
CHEMBL1796257,4,CG0+G0,0,0,0,0
CHEMBL1796258,4,CG0+G0,0,0,0,0
CHEMBL1796259,4,CG0+G0,0,0,0,0
CHEMBL1796260,4,CG0+G0,0,0,0,0
CHEMBL1796261,4,CG0+G0,0,0,0,0
CHEMBL1796262,4,CG0+G0,0,0,0,0
CHEMBL1796272,4,CG0+G0,0,0,0,0
CHEMBL1796273,4,CG0+G0,0,0,0,0
CHEMBL1796274,4,CG0+G0,0,0,0,0
CHEMBL1796275,4,CG0+G0,0,0,0,0
CHEMBL1796276,4,CG0+G0,0,0,0,0
CHEMBL1796690,4,CG0+G0,0,0,0,0
CHEMBL1796691,4,CG0+G0,0,0,0,0
CHEMBL1796692,4,CG0+G0,0,0,0,0
CHEMBL1796693,4,CG0+G0,0,0,0,0
CHEMBL1796973,4,CG0+G0,0,0,0,0
CHEMBL1796974,4,CG0+G0,0,0,0,0
CHEMBL1796975,4,CG0+G0,0,0,0,0
CHEMBL1796977,4,CG0+G0,0,0,0,0
CHEMBL1796980,4,CG0+G0,0,0,0,0
CHEMBL1796981,4,CG0+G0,0,0,0,0
CHEMBL1796982,4,CG0+G0,0,0,0,0
CHEMBL1796984,4,CG0+G0,0,0,0,0
CHEMBL1796985,4,CG0+G0,0,0,0,0
CHEMBL1796986,4,CG0+G0,0,0,0,0
CHEMBL1796988,4,CG0+G0,0,0,0,0
CHEMBL1796989,4,CG0+G0,0,0,0,0
CHEMBL1796990,4,CG0+G0,0,0,0,0
CHEMBL1796991,4,CG0+G0,0,0,0,0
CHEMBL1796992,4,CG0+G0,0,0,0,0
CHEMBL1796994,4,CG0+G0,0,0,0,0
CHEMBL1796995,4,CG0+G0,0,0,0,0
CHEMBL1796996,4,CG0+G0,0,0,0,0
CHEMBL1806528,4,CG0+G0,0,0,0,0
CHEMBL1806530,4,CG0+G0,0,0,0,0
CHEMBL1806826,4,CG0+G0,0,0,0,0
CHEMBL1806924,4,CG0+G0,0,0,0,0
CHEMBL1806977,4,CG0+G0,0,0,0,0
CHEMBL1806980,4,CG0+G0,0,0,0,0
CHEMBL1806989,4,CG0+G0,0,0,0,0
CHEMBL1807009,4,CG0+G0,0,0,0,0
CHEMBL1807010,4,CG0+G0,0,0,0,0
CHEMBL1807087,4,CG0+G0,0,0,0,0
CHEMBL1807088,4,CG0+G0,0,0,0,0
CHEMBL1807093,4,CG0+G0,0,0,0,0
CHEMBL1807585,4,CG0+G0,0,0,0,0
CHEMBL1807834,4,CG0+G0,0,0,0,0
CHEMBL1807835,4,CG0+G0,0,0,0,0
CHEMBL1807837,4,CG0+G0,0,0,0,0
CHEMBL1807838,4,CG0+G0,0,0,0,0
CHEMBL1807839,4,CG0+G0,0,0,0,0
CHEMBL1808213,4,CG0+G0,0,0,0,0
CHEMBL1808411,4,CG0+G0,0,0,0,0
CHEMBL1808803,4,CG0+G0,0,0,0,0
CHEMBL1808808,4,CG0+G0,0,0,0,0
CHEMBL1808809,4,CG0+G0,0,0,0,0
CHEMBL1808812,4,CG0+G0,0,0,0,0
CHEMBL1808815,4,CG0+G0,0,0,0,0
CHEMBL1808817,4,CG0+G0,0,0,0,0
CHEMBL1808820,4,CG0+G0,0,0,0,0
CHEMBL1808825,4,CG0+G0,0,0,0,0
CHEMBL1808827,4,CG0+G0,0,0,0,0
CHEMBL1808828,4,CG0+G0,0,0,0,0
CHEMBL1808830,4,CG0+G0,0,0,0,0
CHEMBL1808831,4,CG0+G0,0,0,0,0
CHEMBL1809125,4,CG0+G0,0,0,0,0
CHEMBL1809126,4,CG0+G0,0,0,0,0
CHEMBL1809129,4,CG0+G0,0,0,0,0
CHEMBL1809131,4,CG0+G0,0,0,0,0
CHEMBL1809132,4,CG0+G0,0,0,0,0
CHEMBL1809134,4,CG0+G0,0,0,0,0
CHEMBL1858003,4,CG0+G0,0,0,0,0
CHEMBL1858112,4,CG0+G0,0,0,0,0
CHEMBL1858260,4,CG0+G0,0,0,0,0
CHEMBL1858294,4,CG0+G0,0,0,0,0
CHEMBL1858305,4,CG0+G0,0,0,0,0
CHEMBL1858330,4,CG0+G0,0,0,0,0
CHEMBL1858366,4,CG0+G0,0,0,0,0
CHEMBL1858383,4,CG0+G0,0,0,0,0
CHEMBL1858423,4,CG0+G0,0,0,0,0
CHEMBL1858441,4,CG0+G0,0,0,0,0
CHEMBL1858508,4,CG0+G0,0,0,0,0
CHEMBL1858525,4,CG0+G0,0,0,0,0
CHEMBL1858584,4,CG0+G0,0,0,0,0
CHEMBL1858741,4,CG0+G0,0,0,0,0
CHEMBL1858785,4,CG0+G0,0,0,0,0
CHEMBL1858910,4,CG0+G0,0,0,0,0
CHEMBL1858918,4,CG0+G0,0,0,0,0
CHEMBL1858942,4,CG0+G0,0,0,0,0
CHEMBL1858963,4,CG0+G0,0,0,0,0
CHEMBL1859256,4,CG0+G0,0,0,0,0
CHEMBL1859281,4,CG0+G0,0,0,0,0
CHEMBL1859306,4,CG0+G0,0,0,0,0
CHEMBL1859373,4,CG0+G0,0,0,0,0
CHEMBL1859446,4,CG0+G0,0,0,0,0
CHEMBL1859478,4,CG0+G0,0,0,0,0
CHEMBL1859661,4,CG0+G0,0,0,0,0
CHEMBL1859738,4,CG0+G0,0,0,0,0
CHEMBL1859763,4,CG0+G0,0,0,0,0
CHEMBL1859772,4,CG0+G0,0,0,0,0
CHEMBL1859926,4,CG0+G0,0,0,0,0
CHEMBL1859933,4,CG0+G0,0,0,0,0
CHEMBL1860229,4,CG0+G0,0,0,0,0
CHEMBL1860353,4,CG0+G0,0,0,0,0
CHEMBL1860384,4,CG0+G0,0,0,0,0
CHEMBL1860386,4,CG0+G0,0,0,0,0
CHEMBL1860492,4,CG0+G0,0,0,0,0
CHEMBL1860518,4,CG0+G0,0,0,0,0
CHEMBL1863531,4,CG0+G0,0,0,0,0
CHEMBL1863566,4,CG0+G0,0,0,0,0
CHEMBL1863569,4,CG0+G0,0,0,0,0
CHEMBL1863570,4,CG0+G0,0,0,0,0
CHEMBL1863592,4,CG0+G0,0,0,0,0
CHEMBL1863603,4,CG0+G0,0,0,0,0
CHEMBL1863653,4,CG0+G0,0,0,0,0
CHEMBL1863660,4,CG0+G0,0,0,0,0
CHEMBL1863665,4,CG0+G0,0,0,0,0
CHEMBL1863675,4,CG0+G0,0,0,0,0
CHEMBL1863697,4,CG0+G0,0,0,0,0
CHEMBL1863747,4,CG0+G0,0,0,0,0
CHEMBL1863759,4,CG0+G0,0,0,0,0
CHEMBL1863773,4,CG0+G0,0,0,0,0
CHEMBL1863774,4,CG0+G0,0,0,0,0
CHEMBL1863775,4,CG0+G0,0,0,0,0
CHEMBL1863778,4,CG0+G0,0,0,0,0
CHEMBL1863795,4,CG0+G0,0,0,0,0
CHEMBL1863797,4,CG0+G0,0,0,0,0
CHEMBL1863812,4,CG0+G0,0,0,0,0
CHEMBL1863816,4,CG0+G0,0,0,0,0
CHEMBL1863831,4,CG0+G0,0,0,0,0
CHEMBL1863833,4,CG0+G0,0,0,0,0
CHEMBL1863835,4,CG0+G0,0,0,0,0
CHEMBL1863870,4,CG0+G0,0,0,0,0
CHEMBL1863882,4,CG0+G0,0,0,0,0
CHEMBL1863900,4,CG0+G0,0,0,0,0
CHEMBL1863918,4,CG0+G0,0,0,0,0
CHEMBL1863948,4,CG0+G0,0,0,0,0
CHEMBL1863969,4,CG0+G0,0,0,0,0
CHEMBL1863989,4,CG0+G0,0,0,0,0
CHEMBL1864004,4,CG0+G0,0,0,0,0
CHEMBL1864017,4,CG0+G0,0,0,0,0
CHEMBL1864055,4,CG0+G0,0,0,0,0
CHEMBL1864070,4,CG0+G0,0,0,0,0
CHEMBL1864124,4,CG0+G0,0,0,0,0
CHEMBL1864127,4,CG0+G0,0,0,0,0
CHEMBL1864144,4,CG0+G0,0,0,0,0
CHEMBL1864180,4,CG0+G0,0,0,0,0
CHEMBL1864195,4,CG0+G0,0,0,0,0
CHEMBL1864196,4,CG0+G0,0,0,0,0
CHEMBL1864201,4,CG0+G0,0,0,0,0
CHEMBL1864210,4,CG0+G0,0,0,0,0
CHEMBL1864214,4,CG0+G0,0,0,0,0
CHEMBL1864237,4,CG0+G0,0,0,0,0
CHEMBL1864245,4,CG0+G0,0,0,0,0
CHEMBL1864246,4,CG0+G0,0,0,0,0
CHEMBL1864274,4,CG0+G0,0,0,0,0
CHEMBL1864275,4,CG0+G0,0,0,0,0
CHEMBL1864282,4,CG0+G0,0,0,0,0
CHEMBL1864308,4,CG0+G0,0,0,0,0
CHEMBL1864319,4,CG0+G0,0,0,0,0
CHEMBL1864343,4,CG0+G0,0,0,0,0
CHEMBL1864366,4,CG0+G0,0,0,0,0
CHEMBL1864378,4,CG0+G0,0,0,0,0
CHEMBL1864388,4,CG0+G0,0,0,0,0
CHEMBL1864407,4,CG0+G0,0,0,0,0
CHEMBL1864457,4,CG0+G0,0,0,0,0
CHEMBL1864483,4,CG0+G0,0,0,0,0
CHEMBL1864491,4,CG0+G0,0,0,0,0
CHEMBL1864521,4,CG0+G0,0,0,0,0
CHEMBL1864554,4,CG0+G0,0,0,0,0
CHEMBL1864557,4,CG0+G0,0,0,0,0
CHEMBL1864594,4,CG0+G0,0,0,0,0
CHEMBL1864597,4,CG0+G0,0,0,0,0
CHEMBL1864598,4,CG0+G0,0,0,0,0
CHEMBL1864602,4,CG0+G0,0,0,0,0
CHEMBL1864606,4,CG0+G0,0,0,0,0
CHEMBL1864612,4,CG0+G0,0,0,0,0
CHEMBL1864642,4,CG0+G0,0,0,0,0
CHEMBL1864660,4,CG0+G0,0,0,0,0
CHEMBL1864669,4,CG0+G0,0,0,0,0
CHEMBL1864692,4,CG0+G0,0,0,0,0
CHEMBL1864766,4,CG0+G0,0,0,0,0
CHEMBL1864805,4,CG0+G0,0,0,0,0
CHEMBL1864811,4,CG0+G0,0,0,0,0
CHEMBL1864869,4,CG0+G0,0,0,0,0
CHEMBL1864887,4,CG0+G0,0,0,0,0
CHEMBL1864896,4,CG0+G0,0,0,0,0
CHEMBL1864903,4,CG0+G0,0,0,0,0
CHEMBL1864926,4,CG0+G0,0,0,0,0
CHEMBL1864940,4,CG0+G0,0,0,0,0
CHEMBL1864955,4,CG0+G0,0,0,0,0
CHEMBL1865009,4,CG0+G0,0,0,0,0
CHEMBL1865039,4,CG0+G0,0,0,0,0
CHEMBL1865042,4,CG0+G0,0,0,0,0
CHEMBL1865092,4,CG0+G0,0,0,0,0
CHEMBL1865093,4,CG0+G0,0,0,0,0
CHEMBL1865117,4,CG0+G0,0,0,0,0
CHEMBL1865147,4,CG0+G0,0,0,0,0
CHEMBL1865173,4,CG0+G0,0,0,0,0
CHEMBL1865185,4,CG0+G0,0,0,0,0
CHEMBL1865204,4,CG0+G0,0,0,0,0
CHEMBL1865220,4,CG0+G0,0,0,0,0
CHEMBL1865238,4,CG0+G0,0,0,0,0
CHEMBL1865239,4,CG0+G0,0,0,0,0
CHEMBL1865244,4,CG0+G0,0,0,0,0
CHEMBL1865287,4,CG0+G0,0,0,0,0
CHEMBL1865311,4,CG0+G0,0,0,0,0
CHEMBL1865337,4,CG0+G0,0,0,0,0
CHEMBL1865372,4,CG0+G0,0,0,0,0
CHEMBL1865376,4,CG0+G0,0,0,0,0
CHEMBL1865403,4,CG0+G0,0,0,0,0
CHEMBL1865425,4,CG0+G0,0,0,0,0
CHEMBL1865435,4,CG0+G0,0,0,0,0
CHEMBL1865470,4,CG0+G0,0,0,0,0
CHEMBL1865475,4,CG0+G0,0,0,0,0
CHEMBL1865490,4,CG0+G0,0,0,0,0
CHEMBL1865616,4,CG0+G0,0,0,0,0
CHEMBL1865646,4,CG0+G0,0,0,0,0
CHEMBL1865649,4,CG0+G0,0,0,0,0
CHEMBL1865652,4,CG0+G0,0,0,0,0
CHEMBL1865662,4,CG0+G0,0,0,0,0
CHEMBL1865674,4,CG0+G0,0,0,0,0
CHEMBL1865688,4,CG0+G0,0,0,0,0
CHEMBL1865690,4,CG0+G0,0,0,0,0
CHEMBL1865695,4,CG0+G0,0,0,0,0
CHEMBL1865726,4,CG0+G0,0,0,0,0
CHEMBL1865788,4,CG0+G0,0,0,0,0
CHEMBL1865804,4,CG0+G0,0,0,0,0
CHEMBL1865808,4,CG0+G0,0,0,0,0
CHEMBL1865816,4,CG0+G0,0,0,0,0
CHEMBL1865820,4,CG0+G0,0,0,0,0
CHEMBL1865880,4,CG0+G0,0,0,0,0
CHEMBL1865884,4,CG0+G0,0,0,0,0
CHEMBL1865908,4,CG0+G0,0,0,0,0
CHEMBL1865909,4,CG0+G0,0,0,0,0
CHEMBL1865916,4,CG0+G0,0,0,0,0
CHEMBL1865918,4,CG0+G0,0,0,0,0
CHEMBL1865921,4,CG0+G0,0,0,0,0
CHEMBL1865936,4,CG0+G0,0,0,0,0
CHEMBL1865940,4,CG0+G0,0,0,0,0
CHEMBL1865983,4,CG0+G0,0,0,0,0
CHEMBL1865991,4,CG0+G0,0,0,0,0
CHEMBL1866003,4,CG0+G0,0,0,0,0
CHEMBL1866050,4,CG0+G0,0,0,0,0
CHEMBL1866057,4,CG0+G0,0,0,0,0
CHEMBL1866063,4,CG0+G0,0,0,0,0
CHEMBL1866092,4,CG0+G0,0,0,0,0
CHEMBL1866095,4,CG0+G0,0,0,0,0
CHEMBL1866104,4,CG0+G0,0,0,0,0
CHEMBL1866107,4,CG0+G0,0,0,0,0
CHEMBL1866140,4,CG0+G0,0,0,0,0
CHEMBL1866497,4,CG0+G0,0,0,0,0
CHEMBL1867521,4,CG0+G0,0,0,0,0
CHEMBL1867546,4,CG0+G0,0,0,0,0
CHEMBL1867548,4,CG0+G0,0,0,0,0
CHEMBL1867765,4,CG0+G0,0,0,0,0
CHEMBL2356527,4,CG0+G0,0,0,0,0
CHEMBL2356604,4,CG0+G0,0,0,0,0
CHEMBL2369101,4,CG0+G0,0,0,0,0
CHEMBL3085458,4,CG0+G0,0,0,0,0
CHEMBL3350710,4,CG0+G0,0,0,0,0
CHEMBL3350721,4,CG0+G0,0,0,0,0
CHEMBL3350724,4,CG0+G0,0,0,0,0
CHEMBL3350725,4,CG0+G0,0,0,0,0
CHEMBL3350726,4,CG0+G0,0,0,0,0
CHEMBL3350879,4,CG0+G0,0,0,0,0
CHEMBL3350880,4,CG0+G0,0,0,0,0
CHEMBL3350881,4,CG0+G0,0,0,0,0
CHEMBL3350882,4,CG0+G0,0,0,0,0
CHEMBL3350883,4,CG0+G0,0,0,0,0
CHEMBL3350884,4,CG0+G0,0,0,0,0
CHEMBL3350885,4,CG0+G0,0,0,0,0
CHEMBL3350886,4,CG0+G0,0,0,0,0
CHEMBL3350887,4,CG0+G0,0,0,0,0
CHEMBL3350888,4,CG0+G0,0,0,0,0
CHEMBL3350889,4,CG0+G0,0,0,0,0
CHEMBL3350893,4,CG0+G0,0,0,0,0
CHEMBL3350894,4,CG0+G0,0,0,0,0
CHEMBL3350895,4,CG0+G0,0,0,0,0
CHEMBL3350896,4,CG0+G0,0,0,0,0
CHEMBL3350897,4,CG0+G0,0,0,0,0
CHEMBL3350898,4,CG0+G0,0,0,0,0
CHEMBL3350899,4,CG0+G0,0,0,0,0
CHEMBL3350900,4,CG0+G0,0,0,0,0
CHEMBL3350901,4,CG0+G0,0,0,0,0
CHEMBL3350902,4,CG0+G0,0,0,0,0
CHEMBL3350903,4,CG0+G0,0,0,0,0
CHEMBL3350904,4,CG0+G0,0,0,0,0
CHEMBL3350905,4,CG0+G0,0,0,0,0
CHEMBL3350906,4,CG0+G0,0,0,0,0
CHEMBL3350907,4,CG0+G0,0,0,0,0
CHEMBL3350908,4,CG0+G0,0,0,0,0
CHEMBL3350909,4,CG0+G0,0,0,0,0
CHEMBL3350910,4,CG0+G0,0,0,0,0
CHEMBL3350911,4,CG0+G0,0,0,0,0
CHEMBL3350912,4,CG0+G0,0,0,0,0
CHEMBL3350913,4,CG0+G0,0,0,0,0
CHEMBL3350981,4,CG0+G0,0,0,0,0
CHEMBL3350982,4,CG0+G0,0,0,0,0
CHEMBL3350983,4,CG0+G0,0,0,0,0
CHEMBL3350984,4,CG0+G0,0,0,0,0
CHEMBL3350985,4,CG0+G0,0,0,0,0
CHEMBL3350986,4,CG0+G0,0,0,0,0
CHEMBL3350987,4,CG0+G0,0,0,0,0
CHEMBL3350988,4,CG0+G0,0,0,0,0
CHEMBL3350989,4,CG0+G0,0,0,0,0
CHEMBL3351044,4,CG0+G0,0,0,0,0
CHEMBL413905,4,CG0+G0,0,0,0,0
CHEMBL4297111,4,CG0+G0,0,0,0,0
CHEMBL443598,4,CG0+G0,0,0,0,0
CHEMBL447886,4,CG0+G0,0,0,0,0
CHEMBL4527941,4,CG0+G0,0,0,0,0
CHEMBL4528179,4,CG0+G0,0,0,0,0
CHEMBL4528190,4,CG0+G0,0,0,0,0
CHEMBL4528258,4,CG0+G0,0,0,0,0
CHEMBL4529430,4,CG0+G0,0,0,0,0
CHEMBL4529500,4,CG0+G0,0,0,0,0
CHEMBL4529530,4,CG0+G0,0,0,0,0
CHEMBL4529532,4,CG0+G0,0,0,0,0
CHEMBL4529624,4,CG0+G0,0,0,0,0
CHEMBL4529639,4,CG0+G0,0,0,0,0
CHEMBL4529660,4,CG0+G0,0,0,0,0
CHEMBL4529676,4,CG0+G0,0,0,0,0
CHEMBL4529681,4,CG0+G0,0,0,0,0
CHEMBL4529696,4,CG0+G0,0,0,0,0
CHEMBL4529717,4,CG0+G0,0,0,0,0
CHEMBL4529730,4,CG0+G0,0,0,0,0
CHEMBL4529751,4,CG0+G0,0,0,0,0
CHEMBL4529771,4,CG0+G0,0,0,0,0
CHEMBL4529797,4,CG0+G0,0,0,0,0
CHEMBL4529823,4,CG0+G0,0,0,0,0
CHEMBL4529829,4,CG0+G0,0,0,0,0
CHEMBL4529841,4,CG0+G0,0,0,0,0
CHEMBL4529863,4,CG0+G0,0,0,0,0
CHEMBL4529868,4,CG0+G0,0,0,0,0
CHEMBL4529877,4,CG0+G0,0,0,0,0
CHEMBL4529883,4,CG0+G0,0,0,0,0
CHEMBL4529895,4,CG0+G0,0,0,0,0
CHEMBL4529904,4,CG0+G0,0,0,0,0
CHEMBL4529917,4,CG0+G0,0,0,0,0
CHEMBL4529928,4,CG0+G0,0,0,0,0
CHEMBL4529931,4,CG0+G0,0,0,0,0
CHEMBL4529943,4,CG0+G0,0,0,0,0
CHEMBL4529946,4,CG0+G0,0,0,0,0
CHEMBL4529955,4,CG0+G0,0,0,0,0
CHEMBL4529978,4,CG0+G0,0,0,0,0
CHEMBL4529991,4,CG0+G0,0,0,0,0
CHEMBL4529994,4,CG0+G0,0,0,0,0
CHEMBL4530010,4,CG0+G0,0,0,0,0
CHEMBL4530037,4,CG0+G0,0,0,0,0
CHEMBL4530090,4,CG0+G0,0,0,0,0
CHEMBL4530105,4,CG0+G0,0,0,0,0
CHEMBL4530177,4,CG0+G0,0,0,0,0
CHEMBL4530187,4,CG0+G0,0,0,0,0
CHEMBL4530206,4,CG0+G0,0,0,0,0
CHEMBL4530214,4,CG0+G0,0,0,0,0
CHEMBL4530218,4,CG0+G0,0,0,0,0
CHEMBL4530228,4,CG0+G0,0,0,0,0
CHEMBL4530256,4,CG0+G0,0,0,0,0
CHEMBL4530305,4,CG0+G0,0,0,0,0
CHEMBL4530326,4,CG0+G0,0,0,0,0
CHEMBL4530332,4,CG0+G0,0,0,0,0
CHEMBL4530336,4,CG0+G0,0,0,0,0
CHEMBL4530398,4,CG0+G0,0,0,0,0
CHEMBL4530431,4,CG0+G0,0,0,0,0
CHEMBL4530467,4,CG0+G0,0,0,0,0
CHEMBL4530473,4,CG0+G0,0,0,0,0
CHEMBL4530479,4,CG0+G0,0,0,0,0
CHEMBL4530507,4,CG0+G0,0,0,0,0
CHEMBL4530512,4,CG0+G0,0,0,0,0
CHEMBL4530525,4,CG0+G0,0,0,0,0
CHEMBL4530557,4,CG0+G0,0,0,0,0
CHEMBL4530593,4,CG0+G0,0,0,0,0
CHEMBL4530594,4,CG0+G0,0,0,0,0
